Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Camptothecin,1003,A3-KAW,910935,DLBC,blood,B_cell_lymphoma,-5.308917116,0.563173367,0.1,0.13913582,-1.660373588,GDSC2
Camptothecin,1003,CAS-1,910943,GBM,nervous_system,glioma,-1.058668064,0.899303169,0.1,0.093603344,0.653752396,GDSC2
Camptothecin,1003,KNS-81-FD,924188,LGG,nervous_system,glioma,-1.236732517,0.904540883,0.1,0.119351391,0.556801941,GDSC2
Camptothecin,1003,D-247MG,946367,GBM,nervous_system,glioma,-1.596028226,0.882938542,0.1,0.157409964,0.361176808,GDSC2
Camptothecin,1003,D-263MG,946368,GBM,nervous_system,glioma,-2.329898041,0.857161251,0.1,0.110182892,-0.038392061,GDSC2
Camptothecin,1003,D-336MG,946369,LGG,nervous_system,glioma,-2.014205231,0.882249821,0.1,0.100814363,0.133492674,GDSC2
Camptothecin,1003,D-392MG,946370,GBM,nervous_system,glioma,-2.332639287,0.839565528,0.1,0.097096453,-0.039884583,GDSC2
Camptothecin,1003,D-423MG,946372,GBM,nervous_system,glioma,-2.789158237,0.839217129,0.1,0.093883617,-0.288444691,GDSC2
Camptothecin,1003,D-502MG,946373,LGG,nervous_system,glioma,-2.044393408,0.838180506,0.1,0.08905971,0.117056168,GDSC2
Camptothecin,1003,D-566MG,946377,GBM,nervous_system,glioma,-3.386084719,0.798625165,0.1,0.094841477,-0.613452253,GDSC2
Camptothecin,1003,CTB-1,949088,DLBC,blood,B_cell_lymphoma,-4.359842586,0.662206598,0.1,0.133336852,-1.143632569,GDSC2
Camptothecin,1003,M059J,949094,GBM,nervous_system,glioma,-3.362779632,0.759780318,0.1,0.113442763,-0.600763372,GDSC2
Camptothecin,1003,Hs-683,1240150,LGG,nervous_system,glioma,-4.144878392,0.701063174,0.1,0.103892854,-1.026591373,GDSC2
Camptothecin,1003,LN-18,1240168,GBM,nervous_system,glioma,-2.041105849,0.889966262,0.1,0.135411208,0.11884614,GDSC2
Camptothecin,1003,LN-229,1240169,GBM,nervous_system,glioma,-0.295973329,0.953138188,0.1,0.072742843,1.069015521,GDSC2
Camptothecin,1003,LNZTA3WT4,1240170,GBM,nervous_system,glioma,-1.459052659,0.91717578,0.1,0.095118762,0.435755666,GDSC2
Camptothecin,1003,Farage,1297449,DLBC,blood,B_cell_lymphoma,-4.621069983,0.658231932,0.1,0.174052112,-1.285862612,GDSC2
Camptothecin,1003,GRANTA-519,1303897,DLBC,blood,B_cell_lymphoma,-4.604881659,0.641943379,0.1,0.134071742,-1.277048582,GDSC2
Camptothecin,1003,JEKO-1,1327765,DLBC,blood,B_cell_lymphoma,-4.22451792,0.706859872,0.1,0.114728417,-1.069952574,GDSC2
Camptothecin,1003,JM1,1327768,DLBC,blood,B_cell_lymphoma,-5.023044584,0.605273449,0.1,0.150593489,-1.50472505,GDSC2
Camptothecin,1003,JSC-1,1327769,DLBC,blood,B_cell_lymphoma,-4.721617532,0.639698074,0.1,0.140740138,-1.340607567,GDSC2
Camptothecin,1003,KARPAS-1106P,1327773,DLBC,blood,B_cell_lymphoma,-4.39065586,0.684558088,0.1,0.118411902,-1.16040942,GDSC2
Camptothecin,1003,NU-DUL-1,1330982,DLBC,blood,B_cell_lymphoma,-4.794100861,0.63402886,0.1,0.116332516,-1.380072444,GDSC2
Camptothecin,1003,OCI-LY-19,1330984,DLBC,blood,B_cell_lymphoma,-5.6054228,0.520988736,0.1,0.095094324,-1.821811542,GDSC2
Camptothecin,1003,RC-K8,1330995,DLBC,blood,B_cell_lymphoma,-3.475964229,0.767728719,0.1,0.101230247,-0.6623888,GDSC2
Camptothecin,1003,SLVL,1331032,DLBC,blood,B_cell_lymphoma,-4.88117347,0.613211929,0.1,0.129322518,-1.427480722,GDSC2
Camptothecin,1003,SU-DHL-10,1331033,DLBC,blood,B_cell_lymphoma,-3.561630246,0.80472494,0.1,0.151619143,-0.709031232,GDSC2
Camptothecin,1003,SU-DHL-16,1331034,DLBC,blood,B_cell_lymphoma,-5.154963383,0.586217371,0.1,0.112939496,-1.576550657,GDSC2
Camptothecin,1003,SU-DHL-4,1331035,DLBC,blood,B_cell_lymphoma,-4.221603838,0.71322139,0.1,0.088076727,-1.068365948,GDSC2
Camptothecin,1003,SU-DHL-5,1331036,DLBC,blood,B_cell_lymphoma,-5.153279236,0.587045607,0.1,0.101344669,-1.575633692,GDSC2
Camptothecin,1003,SU-DHL-6,1331037,DLBC,blood,B_cell_lymphoma,-3.769868001,0.775862678,0.1,0.114969517,-0.822410094,GDSC2
Camptothecin,1003,SU-DHL-8,1331038,DLBC,blood,B_cell_lymphoma,-4.594499071,0.665813043,0.1,0.156770883,-1.271395592,GDSC2
Camptothecin,1003,TK,1331045,DLBC,blood,B_cell_lymphoma,-3.398670872,0.813826889,0.1,0.094400793,-0.620305015,GDSC2
Camptothecin,1003,VAL,1331048,DLBC,blood,B_cell_lymphoma,-4.635844833,0.644923711,0.1,0.112065925,-1.29390705,GDSC2
Camptothecin,1003,WSU-DLCL2,1331050,DLBC,blood,B_cell_lymphoma,-4.066544722,0.732716642,0.1,0.104209871,-0.983941171,GDSC2
Vinblastine,1004,42-MG-BA,687561,GBM,nervous_system,glioma,-4.781425738,0.621892984,0.1,0.118266212,-0.592608325,GDSC2
Vinblastine,1004,8-MG-BA,687562,GBM,nervous_system,glioma,-5.070939055,0.59046509,0.1,0.10806365,-0.725646838,GDSC2
Vinblastine,1004,A172,687563,GBM,nervous_system,glioma,-5.096830948,0.579590202,0.1,0.122757664,-0.737544802,GDSC2
Vinblastine,1004,GB-1,687568,GBM,nervous_system,glioma,-2.17627518,0.838344993,0.1,0.122578245,0.60452264,GDSC2
Vinblastine,1004,T98G,687586,GBM,nervous_system,glioma,-2.734119662,0.838686258,0.1,0.109594772,0.348179335,GDSC2
Vinblastine,1004,U-118-MG,687588,GBM,nervous_system,glioma,-2.550338239,0.814295507,0.1,0.123640293,0.432631435,GDSC2
Vinblastine,1004,U-87-MG,687590,GBM,nervous_system,glioma,-1.456244236,0.904355257,0.1,0.179723399,0.935394626,GDSC2
Vinblastine,1004,U251,905983,GBM,nervous_system,glioma,-4.506893582,0.647702245,0.1,0.178867499,-0.466454025,GDSC2
Vinblastine,1004,SF539,905984,LGG,nervous_system,glioma,-5.907745951,0.479949562,0.1,0.10888582,-1.110180256,GDSC2
Vinblastine,1004,SF268,905986,GBM,nervous_system,glioma,-4.115243802,0.688437834,0.1,0.114230446,-0.286481287,GDSC2
Vinblastine,1004,Becker,906746,GBM,nervous_system,glioma,-5.013116469,0.589123149,0.1,0.138495166,-0.699075933,GDSC2
Vinblastine,1004,DB,906832,DLBC,blood,B_cell_lymphoma,-5.785594637,0.496206252,0.1,0.145407861,-1.054048713,GDSC2
Vinblastine,1004,DBTRG-05MG,906835,GBM,nervous_system,glioma,-1.028454014,0.857669937,0.1,0.120548257,1.131974789,GDSC2
Vinblastine,1004,DK-MG,906839,GBM,nervous_system,glioma,-1.987872525,0.856138142,0.1,0.066471993,0.691098309,GDSC2
Vinblastine,1004,GAMG,906868,LGG,nervous_system,glioma,-4.550408764,0.643899898,0.1,0.154935774,-0.486450325,GDSC2
Vinblastine,1004,GI-1,906871,LGG,nervous_system,glioma,-5.474442218,0.537615891,0.1,0.068674561,-0.911066498,GDSC2
Vinblastine,1004,H4,907042,LGG,nervous_system,glioma,-5.435600239,0.542156569,0.1,0.125264473,-0.89321765,GDSC2
Vinblastine,1004,KALS-1,907271,LGG,nervous_system,glioma,-2.730696108,0.812990217,0.1,0.122979962,0.349752543,GDSC2
Vinblastine,1004,KARPAS-422,907274,DLBC,blood,B_cell_lymphoma,-4.696700105,0.633965691,0.1,0.086027882,-0.553674806,GDSC2
Vinblastine,1004,KINGS-1,907279,LGG,nervous_system,glioma,-0.202963081,0.912503266,0.1,0.121833381,1.511308243,GDSC2
Vinblastine,1004,KS-1,907313,GBM,nervous_system,glioma,-2.681897713,0.821676205,0.1,0.137780225,0.37217661,GDSC2
Vinblastine,1004,MOG-G-CCM,908144,LGG,nervous_system,glioma,-2.678827311,0.810956883,0.1,0.146229855,0.373587535,GDSC2
Vinblastine,1004,MOG-G-UVW,908145,LGG,nervous_system,glioma,-6.498228933,0.404084849,0.1,0.111898372,-1.381521756,GDSC2
Vinblastine,1004,SK-MG-1,909729,GBM,nervous_system,glioma,-3.653878307,0.73782676,0.1,0.129321416,-0.074472457,GDSC2
Vinblastine,1004,SW1088,909745,GBM,nervous_system,glioma,-2.947980794,0.784245871,0.1,0.121986868,0.249904868,GDSC2
Vinblastine,1004,TUR,909773,DLBC,blood,B_cell_lymphoma,-6.265348659,0.427871482,0.1,0.161493097,-1.274507524,GDSC2
Vinblastine,1004,YH-13,909905,GBM,nervous_system,glioma,-5.409675161,0.541544306,0.1,0.152450232,-0.881304437,GDSC2
Vinblastine,1004,LN-405,910694,GBM,nervous_system,glioma,1.32528775,0.982460548,0.1,0.038318941,2.21357721,GDSC2
Vinblastine,1004,BC-1,910919,DLBC,blood,B_cell_lymphoma,-6.715337307,0.367206816,0.1,0.092683623,-1.481288412,GDSC2
Vinblastine,1004,SCC-3,910930,DLBC,blood,B_cell_lymphoma,-5.248274497,0.571597772,0.1,0.131513756,-0.807136849,GDSC2
Vinblastine,1004,AM-38,910933,GBM,nervous_system,glioma,-3.363549003,0.775981421,0.1,0.112539242,0.058941022,GDSC2
Vinblastine,1004,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma,-6.205723322,0.439116886,0.1,0.133012919,-1.24710821,GDSC2
Vinblastine,1004,A3-KAW,910935,DLBC,blood,B_cell_lymphoma,-5.714440248,0.505905497,0.1,0.085956207,-1.021351515,GDSC2
Vinblastine,1004,CAS-1,910943,GBM,nervous_system,glioma,-1.480808729,0.878083643,0.1,0.048972746,0.924106636,GDSC2
Vinblastine,1004,D-263MG,946368,GBM,nervous_system,glioma,-3.89976418,0.7158094,0.1,0.060086698,-0.187463083,GDSC2
Vinblastine,1004,D-392MG,946370,GBM,nervous_system,glioma,-3.093949424,0.779420113,0.1,0.053076107,0.182828681,GDSC2
Vinblastine,1004,M059J,949094,GBM,nervous_system,glioma,-3.438278137,0.752711831,0.1,0.110190461,0.024601141,GDSC2
